类别,子类别,问题,答案
特色服务,自营放心购,什么是亮点换新服务？（自营商品）,客户选购有“亮点换新”标识的自营商品，自签收之日起15天内，如商品出现非物理损坏的亮点（1处或1处以上），可以在线提交售后申请，审核通过后将安排上门取件（超出取件地址除外），取回后若情况属实，将免费为客户更换全新商品。
订单百事通,取消订单,订单取消成功后优惠券如何返回？,使用全品类京券、限品类京券、店铺京券、平台专享京券提交的订单，若订单未拆分，则订单取消后，系统自动返还相应的京券；若订单被拆分，取消全部子单，系统自动返还限品类京券、店铺类京券，平台专享类京券不返还，全品类京券则由系统判断，返还等值京豆；使用全品类东券、限品类东券、店铺东券、平台专享类东券提交的订单，若订单未拆分，则订单取消后，系统自动返还相应的东券；若订单被拆分，取消全部子单，系统自动返还相应的东券；注：如果是促销活动领取的优惠券，订单取消后优惠券是否退回，请以具体活动规则为准；或联系客服帮您处理。
特色服务,京东试用中心,什么是付邮试用？,"付邮试用---只需要支付运费就可以下单获取试用商品的活动,获取的试用商品无需返还，但需要提交试用报告。付邮试用的流程如下：>>这里有很多试用商品2016-01-26"
支付问题,京东白条,白条订单分期后，提前还款是否还需要支付分期服务费,白条订单分期后，提前还款是否还需要支付分期服务费详见：https://jrhelp.jd.com/show/getProblemInfo-1561
发票问题,发票开具规则,京东自营商品能否开具带有税号的发票？,您好，分为以下两种情况： ①电子发票：电子发票票面带有“购买方纳税人识别号”栏次，适用于税务总局16号公告规定，您可在订单结算页发票信息页面填写购买方纳税人识别号信息；（如您使用APP端、ipad端下单，需升级至最新版本后可在发票信息页面填写相应信息，将根据客户下单提交的发票信息开具电子发票。）②增值税专用发票：增值税发票原本就有“购货方纳税人识别号”信息，不受《关于增值税发票开具有关问题的公告》影响。 2017-07-28
订单百事通,提交订单,在结算页为什么无法使用优惠券?,您好，该情况说明您购买的商品中没有可以使用此优惠券的商品或不满足使用优惠券的条件。建议您在结算页点击“使用优惠/京东卡/抵用”查看具体原因，如下图：2017-02-24
特色服务,京东国际跨境进口,京东国际跨境进口介绍,京东国际跨境进口是京东在2015年开启的跨境电子商务新业务，旨在为用户带来更优质更多选择的海外商品，让您足不出户购遍全球。去京东国际跨境进口看看>>京东国际跨境进口服务承诺：1.   海外正品保证京东国际跨境进口商家承诺出售均为100%海外原装正品，并承诺提供“正品保障服务”，一旦京东国际跨境进口商家被发现出售假货及非原装正品商品，京东国际跨境进口有权立即与商家终止协议，并对买家进行赔偿。2. 全球直供京东国际跨境进口选购商品均从海外或保税仓发至您手中，配送物流稳定可靠，比一般国际物流周期短。海外商家：京东国际跨境进口平台所有京东国际跨境进口商家均为海外商家，通过建立京东香港平台实现直接与境外京东国际跨境进口商家签约。海外货源：所有商品均属海外生产或销售。全程监控：商品从中国大陆以外的国家或地区发出，或从海关监管的中国保税区发出，进行100%阳光清关，物流信息全程可以查看。3. 客服专线体验尊享如果您有任何疑问，欢迎拨打京东国际跨境进口客户专线：400-606-9933，服务时间：9：00-24：00，如您不方便致电，也可使用京东国际跨境进口在线咨询服务（京东国际跨境进口在线客服服务时间：9：00-24：00）！4. 7天无忧保障售后京东国际跨境进口为用户提供7天无忧的国内售后保障，如发现商品有质量问题，用户可在收到商品后的7天内提交退货申请，我们会有专业售后人员提供售后服务，在京东国际跨境进口，放心购物！5.  售后服务流程京东国际跨境进口自营售后流程： 京东国际跨境进口商家售后流程：6. 京东国际跨境进口商品常见问题Q1：京东国际跨境进口商品的购物流程是什么？京东国际跨境进口购物流程：Q2：如何查找京东国际跨境进口商品？通过【京东首页】-进入【京东国际】，京东国际跨境进口网址：//www.jd.hk/，如下图：Q3：京东国际跨境进口和海外购商品有什么区别？京东国际跨境进口商品均从海外或保税仓发至您手中，配送物流稳定可靠，比一般国际物流周期短。海外购商品是从国外采购并直接从国外直邮国内，需入关检测、国内物流送达客户等环节，到货周期相对较长。如果您对我们的服务和产品有任何意见或建议，还请随时给我们邮件！Worldwide_aftersales@jd.com2019-11-28
订单百事通,晒单评价,晒单后没有收到赠品？,一般参与晒单获得赠品的活动，赠品的发放时间会在商品页面活动规则里面进行注明，您可以查看具体活动规则来确认赠品发放时间以及发放的规则，同时请您根据具体晒单规则来确认您的晒单是否符合活动的要求，具体规则还请您查看活动页面的详细信息。2016-01-26
订单百事通,取消订单,生鲜商品什么时间可以取消订单？,您订购的生鲜商品在商品出库前支持取消订单。
支付问题,公司转账,工商银行企业网银支付步骤,插入U盾后选择银行→确认订单信息→输入U盾密码→按U盾上的OK键→登陆企业网银审批→选择待审批交易→输入复核U盾密码→按复核U盾上OK键→审批通过，支付成功
购物指南,交易条款,国际机票中国国际航空法律声明,"法律声明本法律声明适用于www.airchina.com.cn（即""本网站""）的域名下的全部内容以及用户与中国国际航空股份有限公司之间的往来电子信函。本网站适用于的年满18岁的用户。本网站归中国国际航空股份有限公司所有并经营。当您启用本网站所提供的服务时，即表明您已同意接受本网站的《使用条款》和《隐私政策》。如果您对本网站的《使用条款》和/或《隐私政策》中的任何内容持有异议，请不要使用本网站。知识产权除另行声明外，包括版权、设计、商标、标识、软件和全部专有数据在内的所有相关项目的知识产权以及任何囊括于本网站内容之中有关商业、营销、技术或其他方面的资料（包括但不限于照片和图形图像）均构成并属于中国国际航空股份有限公司和/或其许可方和/或其供应商的专有权利和独有财产。本网站包含的所有内容均不代表或暗示上述任何权利或许可的转让。本网站仅用于您个人及非商业目的。除非在相关法律允许的范围内，否则未经中国国际航空股份有限公司事先书面同意，您不得使用、复制、修改、发送、储存、发布、出售、交流或分发本网站上的相关资料，或利用本网站上的相关资料创建其他资料。除此上述规定及下述有关修订的声明，您仍可打印并留存《使用条款》，以供自行参考。免责声明中国国际航空股份有限公司定期对其网站上的信息进行审核与更新，但并不就此作出承诺。中国国际航空股份有限公司可随时就网站上的信息或网站中描述的产品和价格信息进行变更。因此，本网站的某些资料可能已经变更和/或已过期。请注意，中国国际航空股份有限公司对其所提供信息的时效性、准确性和/或完整性不承担任何义务、赔偿责任，也不提供任何担保。此外，因使用本网站所导致的结果，包括但不限于由于您的访问、使用、浏览或下载本网站或本网站的链接网站的任何资料或而对您的计算机设备、软件、数据或其他资产感染病毒所造成的损失或损坏，中国国际航空股份有限公司不承担任何义务、赔偿责任，此外中国国际航空股份有限公司也不保证本网站能够满足您的需求。中国国际航空股份有限公司不保证本网站不会出现突然中断或错误，不保证其故障得到修复、不保证本网站或提供网站网络服务的服务器不受病毒或程序错误的攻击，不保证所提供资料的完整功能性、准确性和可靠性。如因故障、系统维护及升级或不可抗力导致本网站暂停服务，于暂停服务期间造成的一切不便与损失，中国国际航空股份有限公司不负任何责任。与第三方网站的链接本网站可能包含由第三方网站予以维护的链接或参考资料。这些链接仅用于为用户提供方便。中国国际航空股份有限公司无法对与中国国际航空股份有限公司网站相链接的第三方网站内容或可用性予以控制或对其负责。其中一些信息和报价由我方合作伙伴独立提供。请注意，我方合作伙伴公布的相关条款适用于这些服务和报价，且所提供的转向其网站的链接并非成为中国国际航空股份有限公司建议或担保这些其他网站内容或其相关的表述。中国国际航空股份有限公司不对所链接网站的内容负责。如果用户决定访问任何与本网站相链接的第三方网站，则应完全自行承担相应风险并对使用第三方链接和参考承担全部责任。任何有意向与本网站建立链接的第三方均须事先通过书面形式将其链接意图知会中国国际航空股份有限公司。中国国际航空股份有限公司保留拒绝任何链接到本网站请求的权利。然而，即便中国国际航空股份有限公司下发了其书面链接许可，中国国际航空股份有限公司亦不承担任何与此第三方建立双向链接的责任。个人资料对本网站用户个人资料的收集和使用均将遵循中国国际航空股份有限公司网站《隐私政策》的相关规定。详情请参阅该文件中的相关详细信息。修订中国国际航空股份有限公司可能在不做出通知的情况下，在任何时间自行决定变更本网站的任何内容和更新《使用条款》。最新版本的《使用条款》可于本网站查阅。由于本网站的使用条款可能已经变更或更新，因而当您每次访问本网站时，请仔细阅读本网站的《使用条款》。请注意，本网站包括这些条款以供用户来查阅，用户有责任连续并定期地查阅这些条款。内容变更后继续使用本网站则视为该用户已经接受此类变更，并同意受到此修订后的《使用条款》的法律约束。法律适用本网站及法律声明受中华人民共和国法律管辖（为本声明之目的，不包括香港和澳门特别行政区法律以及台湾地区相关规定），如声明条款与相关法律规定相抵触的，以法律规定为准。本法律声明为可分割的，被判决或裁定为无效的声明条款，不影响其他条款的有效性。本声明的最后更新日期为2009年12月3日。2018-12-28"
账户及会员,账户资产,什么是限品类京券？,京东【京东网站(www.jd.com)、京东客户端（IOS/Andriod）、M版京东（m.jd.com）、微信端购物、手机QQ购物、】内通用（相关特殊商品不能使用），无使用限额限制，有商品品类限制，只能购买特定品类商品，可按京券面值总额减免商品部分需支付金额。使用限品类京券提交订单时，若京券总金额大于订单需支付的商品金额，差额不予退回。
售后服务,退换货-返修申请,刚刚申请了退货，可以换成换货吗？,1.若服务单未审核，您可以自行取消服务单，重新申请换货。2.若服务单已审核，建议您联系在线客服为您处理。2017-04-17
特色服务,大家电,第三方卖家大家电商品售后服务细则,退换货时限第三方卖家的家用电器产品自售出之日（以实际收货日期为准）起7日内可退货，15日内可换货退换货原因7日内在商品（含附件）完好前提下可享受7日无理由退换货；注意事项中约定不适合退换的商品除外；商品质量问题；物流损坏。处理流程
账户及会员,PLUS会员,PLUS会员所得运费券什么时候发放？,以用户购买PLUS正式会员当天日期为准，之后每月购买当日将发放运费券。运费券的发放可能存在1-2天的延迟，如遇延迟还请您耐心等待。2017-04-19
特色服务,自营放心购,自营生鲜商品“优鲜赔”服务说明,"优鲜赔服务是为魔镜等级S2及以上的京东优质客户提供的售后特色服务，符合条件的生鲜自营订单商品有破损或腐坏等问题，可以在商品签收后48小时内提交“优鲜赔”申请，提交申请后100分钟内审核通过后即享补偿，无需返回商品，为客户节省了返回商品的物流等待时间和收货检测的处理时间（非鲜活易腐类商品需上门取件）（1）服务流程： （2）申请时间：自订单签收后48小时内（自订单显示签收之时起开始计算）可申请服务。（3）服务时效：客户提交“优鲜赔”申请，100分钟内审核通过后即享补偿或退款。（4）服务说明：a）若活鲜商品同时带有“保鲜活”、“优鲜赔”两个服务标识，若活鲜商品出现死亡的情况，适用“保鲜活”服务。若活鲜商品出现破损的情况，适用“优鲜赔”服务。备注：“保鲜活”服务可点击。 b）魔镜等级查询方式：登录电脑端京东商城，点击京东页面右上角【客户服务】-【售后服务】，页面左侧即可查看魔镜等级；c）生鲜类商品（蔬菜水果、水产海鲜、肉禽蛋奶等）由于受季节、气候、生长环境等因素影响，不同批次略有差异属正常现象；d）因客户使用或保管不当导致出现质量问题、变质的商品,将无法提供优鲜赔服务。2020-08-31"
特色服务,知识产权维权,京东知识产权维权平台使用协议,欢迎您使用京东知识产权维权平台！为使用京东知识产权维权平台，您应当阅读并遵守《京东知识产权维权平台使用协议》（以下简称“本协议”）。请您务必审慎阅读、充分理解各条款内容，特别是免除或者限制责任的条款。限制、免责条款可能以黑体加粗形式提示您注意。除非您已阅读并接受本协议所有条款，否则您无权使用京东提供的京东知识产权维权平台。您使用京东知识产权维权平台即视为您已阅读并同意本协议的约束。如果您未满18周岁，请在法定监护人的陪同下阅读本协议。 一、【协议的范围】1.1本协议是您与京东集团（以下简称“京东”）之间关于使用京东知识产权维权平台所订立的协议。“用户”是指使用京东知识产权维权平台的使用人，在本协议中更多地称为“您”。1.2京东知识产权维权平台（下称“维权平台”），是指京东所开发的，提供给用户登录后可对京东旗下网站（包括但不限于京东平台、京东国际、京喜平台以及未来京东可能建立的其他电子商务平台等）中涉嫌侵犯其或其委托人知识产权的信息进行投诉，或针对投诉进行申诉的计算机软件系统。该维权平台网址为：http://ipr.jd.com（中文版）、http://enipr.jd.com（英文版）。1.3本协议包括协议正文及已经发布的或将来可能发布的有关维权系统的各类规则，包括但不限于《知产维权投诉处理规则》及《知产维权申诉处理规则》等。 二、【账户与密码】2.1您在使用京东知识产权维权平台时需要首先取得一个京东账号，并根据系统要求填写权利人/被投诉人的真实姓名（名称）及联系方式等信息，上传有效的主体身份证明文件；如委托代理人代为办理，还需填写代理人姓名（名称）及联系方式，并上传授权委托书和代理人身份证明文件。2.2京东特别提醒您应妥善保管您的账号和密码。当您使用完毕后，应安全退出，因您保管不善导致遭受盗号或密码失窃，所有相关责任由您自行承担。 三、【账户信息安全】3.1保护用户个人信息是京东的一项基本原则。3.2您在使用维权平台的过程中，需要填写一些必要的信息。若您填写的信息不完整或不真实，则无法使用本服务或在使用过程中受到限制。3.3用户注册成功后，将产生用户名和密码等账户信息，您可以根据本站规定改变您的密码并应当谨慎保护您的账户信息。3.4京东将运用各种安全技术和程序建立完善的管理制度来保护您的个人信息，以免遭受未经授权的访问、使用或披露。3.5未经您的同意，京东不会向京东以外的任何公司、组织和个人披露您的个人信息，但法律法规及本协议另有规定的除外。3.6京东有权在以下情况下披露您的信息（包括但不限于您的注册信息及有关投诉信息）：（1）在投诉过程中向被投诉方披露；（2）根据法律规定或者国家机关的要求，向第三方或者国家机关披露；（3）如果您违反中国有关法律、本协议及维权平台相关规定，需要向第三方披露；（4）其它京东根据法律或者维权平台相关规定认为合适的披露。3.7您不得以任何手段收集、编辑、出售或者传播或以其他方式使用其他用户的个人信息，否则京东有权立即终止您使用维权平台，并保留追究您的法律责任的权利。 四、【使用本服务的方式】4.1您应当通过京东提供或认可的方式使用该维权平台。您依本协议条款所取得的权利不可转让。4.2您不得使用未经京东授权的插件、外挂或第三方工具对本协议项下的维权平台进行干扰、破坏、修改或施加其他影响。 五、【知识产权声明】5.1京东在维权平台提供的信息内容（包括但不限于网页、文字、图片、音频、视频、图表等）的知识产权均归京东所有，但用户在使用本服务前对自己发布的信息已合法取得知识产权的除外。5.2除另有特别声明外，京东提供的维权平台的著作权、专利权及其他知识产权均归京东所有。5.3京东在提供维权系统过程中所使用一切商业标识，包括但不限于“京东”、“JD”、“” “”形象等，其著作权、商标权、字号权及其他知识产权归京东及其合法权利人所有。5.4上述及其他任何京东依法拥有的知识产权均受到法律保护，未经京东书面许可，您不得以任何形式进行使用或创造相关衍生作品。 六、【用户权利与义务】6.1您在使用维权平台时须遵守法律法规及各种社会公共利益或公共道德，不得利用维权平台从事违法违规行为，否则因此产生的任何法律后果及责任均由您以自己的名义独立承担。6.2您承诺具有完全民事行为能力，且有权进行知识产权维权投诉或对他人的投诉进行申诉。在进行投诉时，您应保证有真实、合法、有效的证据证明被投诉人侵犯了您的知识产权，在进行申诉时，您应保证所提交的信息和材料真实、合法、有效。您不得滥用投诉权或申诉权，否则因此导致的一切法律后果均由您承担，因此给京东造成损失的，由您独立承担全部赔偿责任。如果您委托代理人在京东进行知识产权维权投诉或对他人投诉进行申诉，代理人的代理行为将视同您的行为，您应对代理人的代理行为承担全部责任。6.3您在通过维权平台提交投诉/申诉时，应当按照维权平台的要求填写信息并上传相关资料。6.4当维权平台显示您的投诉/申诉提交成功后，仅表示您按照维权平台设定的程序完成了投诉/申诉的提交，不代表京东必然受理您的投诉/申诉、处理投诉/申诉或者必然会删除/保留被投诉的信息。6.5您不可撤销地作如下保证声明：您通过维权平台填写的信息及向京东提交的投诉材料均是真实、合法、有效、完整的，且不存在侵犯第三方合法权益情形。您将为京东依您的要求对投诉信息所采取措施而产生的一切后果承担全部责任，上述责任包括但不限于向京东支付赔偿金和律师费，以及采取有效措施挽回京东遭受的名誉损失。6.6您在使用维权平台过程中应当遵守当地相关的法律法规，并尊重当地的道德和风俗习惯。如果您的行为违反了当地法律法规或道德风俗，您应当为此独立承担责任。 七、【通知方式】7.1您向京东发出通知时，应通过维权平台对外正式公布的联系信息进行送达。7.2京东向您提供的电子邮件等联系信息发出通知，通知的送达以正式发出时的时间为准。同时，京东也可以以网页公示的方式送达至您。7.3京东可自由选择以短信、邮件、页面、电话、传真等任意一方式通知您，以上各通知方式均为有效通知方式。 八、【不可抗力及其他免责事由】8.1您理解并同意，在使用维权平台的过程中，可能会遇到不可抗力等风险因素，使维权平台的使用发生中断。不可抗力是指不能预见、不能克服并不能避免且对一方或双方造成重大影响的客观事件，包括但不限于自然灾害如洪水、地震、瘟疫流行和风暴等以及社会事件如战争、动乱、政府行为等。出现上述情况时，京东将努力在第一时间与相关单位配合，及时进行修复，但是由此给您造成的损失，京东在法律允许的范围内免责。8.2在法律允许的范围内，京东对以下情形导致的维权平台中断或受阻不承担责任：（1）受到计算机病毒、木马或其他恶意程序、黑客攻击的破坏；（2）用户或京东的电脑软件、系统、硬件和通信线路出现故障；（3）用户操作不当；（4）用户通过非京东授权的方式使用本服务；（5）其他京东无法控制或合理预见的情形。8.3您理解并同意，京东对因您提供的联系信息不准确、您的电话/传真机出现故障、手机关机等因用户原因导致的通知无法或延迟送达至您或其他无法满足您正当维权/申诉要求等情形，以及由此给您造成的不便及损失，京东不承担任何责任。 九、【协议的生效与变更】9.1京东有权在必要时修改本协议条款及有关维权平台的规则。您可以在相关服务页面查阅最新版本的协议条款或规则。9.2本协议条款或相关规则变更后，如果您继续使用维权平台，即视为您已接受修改后的协议及规则。如果您不接受修改后的协议及规则，应当停止使用京东提供的维权平台。 十、【服务的变更、中断、终止】10.1京东可能会对服务内容进行变更，也可能会中断、中止或终止服务。10.2如发生下列任何一种情形，京东有权不经通知而中断或终止向您提供维权平台：（1）根据法律或本协议规定您应提交真实信息，而您提供的个人资料不真实、或身份证明文件已过期未能及时提交更新过的有效身份证明文件、或与注册时信息不一致又未能提供合理证明；（2）您违反相关法律法规或本协议的约定；（3）按照法律规定或主管部门的要求；（4）出于安全的原因或京东认为其他必要的情形。 十一、【管辖与法律适用】11.1本协议签订地为中华人民共和国北京市朝阳区。11.2本协议的成立、生效、履行、解释及纠纷解决，适用中华人民共和国大陆地区法律（不包括冲突法）。11.3若您和京东之间发生任何纠纷或争议，首先应友好协商解决；协商不成的，您同意将纠纷或争议提交本协议签订地有管辖权的人民法院管辖。 十二、【其他事项】12.1本协议所有条款的标题仅为阅读方便，本身并无实际涵义，不能作为本协议涵义解释的依据。12.2本协议条款无论因何种原因部分无效或不可执行，其余条款仍有效，对双方具有约束力。12.3如果您对维权平台有意见或建议，可与京东联系，我们会给予您必要的帮助。 2020年7月30日
特色服务,价格保护,什么是价格保护（自营商品）？2019年11月9日前版本,价格保护：为了更好的提升您的购物体验，即如您在京东网站www.jd.com购物，如商品出现降价（不包括支付方式的相关优惠），在价保规则范围内，将赠送您与差额部分等值的款项、或京券、京豆。
购物指南,生活旅行,线路订购须知,1.在京东购买景点门票都有哪些支付方式？目前支持在线支付方式。暂不可以使用京券、东券、积分、京东余额支付。2. 都有哪些景点门票形式？目前仅提供景点电子门票，通过短信/彩信形式发送，形式为含有数字或字符串组成的验证码短信或二维码彩信，均可作为入园凭证。未来将提供门票打印和实体票寄送服务。3. 如何查看我的门票购买记录？请您登录后，进入【我的订单】-【我的景点】，就可看到所购景点门票的详细订单记录。4.  电子票短信/彩信可以转发吗？除景区门票详情页面提示不可转发的均可以转发。转发有效，不限制转发次数。如果转发他人请转发完整信息，接收人即可凭短信/彩信形式的电子门票进入景区，但若景区售票处验证信息时发现该电子门票已被验证使用，则再次验证时会显示电子票失效，无法进入景区，请您谨慎转发。5. 我想为他人购买多张景区电子门票，那该怎么办呢？如果您想为他人购买景区门票，则可有以下两种方式：（1）可在下订单时填写实际取票人的手机号码，系统会将电子门票直接发送到取票人手机上；（2）填写您自己的手机号码，再自行将信息完整转发给取票人（注意景区门票详情页面提示不可转发的应采取第一种方式）。如果您想购买多张同景区电子门票给不同的人，则您可通过以下方式购买：（1）请您分次下单分别填写对应的取票人信息。因为一个订单只对应一个接收信息的手机号码，下多个订单就可以填写多个不同的取票人手机号码，系统会将信息直接发送到与您订单相对应的取票人手机号码上；（2）您也可多次下单填写一个取票手机号，然后收到信息的人将收到的电子门票分别转发相应人（注意景区门票详情页提示不可转发应采取第一种方式）。6. 购买的景区电子票必须一次性使用完毕吗？不同景区电子票使用情况也有所不同，具体请参见购买时景区门票详情页的说明。大多数景区的电子票支持分次验证使用，如果您一次性购买多张，可以在电子票有效期内，不超过购买总数，分次进行验证使用。7. 下订单时必须要填写身份证号码吗？因部分景区需核对身份证号码，所以需要用户填写，这些景区页面上都会有相应提示。景区页面上没有提示需要留身份证号码的，均可不填写。注意填写身份证号码的景区门票，电子门票不可转发他人使用。8. 已经支付的订单允许变更订单信息吗？不允许。如果要进行变更，可以申请退票（仅适用于支持退票的景区门票，具体请查看景区门票详情页说明），申请通过后，可重新预订，进行购买。9. 订单已提交未支付款项的可以变更订单信息吗？您好，目前订单成功提交后系统不支持更改订单，但您可以直接取消订单，重新预订购买。10. 成交后的景区门票，能否办理退票？请关注景区门票详情页信息，若景区说明中没有明确说明可以退票的，均为不支持退票。若景区说明中标注可退票的才支持退票，但用户退票时必须保证电子票未被验证使用且在有效期内。如支持退票的，您应至少在有效期截止日期一天前申请退票，部分景区可能收取退票手续费，详情请咨询平台客服办理。11. 为什么收不到电子门票短信/彩信？您好！电子门票成功付款之后，系统一般会在10分钟内给您发送短信/彩信，个别情况偶尔会有延迟，请确保自己手机通讯畅通。由于手机客观原因（短信屏蔽设置、费用缺省、关机或者不在服务区）24小时之内还未收到短信/彩信的话，请致电客服咨询。每个订单最多仅有2次重新发送的机会。12. 如果我误删了电子票短信怎么办？可登录京东通过“我的京东”-“我的景点”找到相应订单，点击“发送到手机”按钮，再次将电子票短信发送到手机上。请务必保留好您的电子票短信，部分商家只能重发一次。如再误删或遗失请与客服联络。13. 如果我到了景区，验证失败无法入园怎么办？请确认电子票信息完整，且有效期内，重新按实际购买数量在景区售票处进行验证。如仍有问题，请拨打平台客服或电子票显示的客服电话进行咨询。14. 为什么我在景区用电子票兑换到的小票显示金额与网上订单不符？部分商家提供的景区兑换小票显示金额为门市销售价格，而京东销售的电子门票价格则是线上优惠价格，请您以订单在线支付的实际金额为准。2016-01-26
售后服务,售后政策（自营）,我的商品是否可以退换货？为什么我的商品无法退货？,请您在售后政策>>页面输入商品编号，查询您所购买商品的售后政策。如果您申请售后退换货服务，您可以点击“我的京东”-“返修退换货”-“查看返修退换货/记录”-“查看”查看审核结果原因。根据不同品类商品有所不同，建议您可以点击查看不同品类售后细则。2021年3月9日
特色服务,大家电,京东家具类增值项目收费标准,2019-03-07
特色服务,拍卖业务,竞拍操作指南,第一步：浏览拍品登陆京东商城拍卖平台paimai.jd.com，浏览您感兴趣的拍品。点击拍品详情页面，查看拍品详情，您可以查看到该件拍品的起拍价、加价幅度、保留价、延时周期、拍卖方式、佣金、服务支持等详细信息。特别注意的是，您需要看下拍品是否设置了佣金，以及该拍品是否有保留价，如有任何疑问，您可以直接通过咚咚与送拍机构的客服人员联系。第二步：交保证金确认您要参与竞拍的拍品信息，点击“交保证金报名”按钮进入报名并交纳保证金流程。请务必认真阅读并签署《用户竞拍服务协议》。请确认订单信息，包括拍品名称、收货人信息、支付方式、配送方式、发票信息。 交纳竞拍保证金。支付成功后，返回竞拍页面。如页面提示“报名成功，等待竞拍开始”，则证明您已成功交纳保证金；如竞拍已经开始，您可以直接进入出价竞拍环节。已交纳的保证金详情，您可在拍卖频道右上方“我的获拍-我的保证金”中查询。第三步：参与竞拍确认出价金额，点击“出价”按钮进行竞拍，竞拍规则如下：1. 首次出价可以以起拍价出价，也可以自主输入高于起拍价的任意金额进行出价，任意金额应在商家设定的加价幅度之内；2. 出价最高者领先，价低者竞拍记录出局，出局者可以再次出价；3. 再次出价，可以只增加一个最低加价幅度出价，也可以自主输入高于当前价的任意金额进行出价，任意金额应在商家设定的加价幅度之内；4. 您也可以设置一个代理出价金额，让系统自动帮您出价。您可以在拍品详情页随时关注竞拍剩余时间、当前价格、出价记录等信息，也可以设置代理出价。如您暂时退出拍品详情页，可以在拍卖频道页右上方“我的获拍-我的竞拍”查询拍品的状态。第四步：竞拍成功如果在本次拍卖结束前2分钟内，您的出价排在第一位，并且没有其他用户继续出价，则您将获得该拍品。您可以在拍卖频道页右上方“我的获拍-我的获拍”查询拍品的状态。第五步：支付货款请您在获拍后72小时内付款，逾期未付款将视为违约，您的获拍资格将被取消，本次参拍的保证金将被扣除。支付完成后，您可以在我的订单中，查找到该笔订单的详细信息。第六步：完成收货支付货款后，后续流程跟京东商品购买流程一致，您只需等待送拍机构发货即可；在收到拍品时一定要认真检查，无问题，再确认收货；特殊交易商品（如汽车、房产等）后续流程以拍品详情页的说明或者与送拍机构沟通为准；特别要注意的是，根据京东商城竞拍业务管理规范、京东平台规则，拍卖平台展示大多为孤品，是否支持7天无理由为送拍机构可选服务保障。2017-02-24
售后服务,售后政策（三方）,什么是红屁屁退货无忧服务？,红屁屁退换无忧服务是指客户在京东平台购买带有“红屁屁退货无忧”服务标识的商品后，若客户在订单签收后的60天内使用商品后出现尿布疹（俗称红屁股）现象，并在线提交售后申请，并提供有效凭证，第三方卖家将在48小时内响应申请，提供退货退款的服务。2017-08-08
支付问题,公司转账,线下公司转账说明,1、线下公司转账选择的方法：（1）购物车【去结算】-【支付方式】中选择【公司转账】-点击【提交订单】-进入【京东收银台】页面-选择【线下汇款】
账户及会员,账户安全与账户信息,如何提高账户安全等级？,您可以进入“我的京东”-“账户安全”，通过设置邮箱验证，支付密码，数字证书、手机号、实名认账等方式来提高账户的安全等级。
购物指南,购物流程,如何购买下单？,下单操作步骤：
售后服务,售后服务单查询与修改,退货-换货申请在哪里查看进度？,PC电脑端查询：登陆京东首页>我的京东>左侧客户服务>返修/退换货>查看返修/退换货记录，在相应服务单号后点击“查看”。京东手机APP客户端查询：我的>退换/售后>进度查询，找到对应的退换货商品，点击右上角“进度查询”，即可查看服务单进度。2017-04-17
支付问题,在线支付,怎样在京东开通快捷支付？,进入订单的付款页面，选择“添加新卡/网银支付”输入相应卡有效信息以及身份信息后，立即开通且支付，即可完成开通。2016-10-28
